Power(W), Temperature(å¼C), Time(ms), elapsed time(ms), number of samples
63.88,54,198.436768,,
63.88,54,198.887756,,
63.88,54,199.338745,,
63.88,54,199.789734,,
63.88,54,200.240738,,
63.88,54,200.691727,,
63.88,54,201.142715,,
63.88,54,201.593704,,
63.88,54,202.044708,,
63.88,54,202.495697,,
63.88,54,202.946686,,
63.88,54,203.39769,,
63.88,54,203.848679,,
63.88,54,204.299667,,
63.88,54,204.750656,,
63.88,54,205.20166,,
63.88,54,205.652649,,
63.88,54,206.103638,,
63.88,54,206.554626,,
63.88,54,207.00563,,
63.88,54,207.456619,,
63.88,54,207.907608,,
63.88,54,208.358597,,
63.88,54,208.809601,,
63.88,54,209.26059,,
63.88,54,209.711578,,
63.88,54,210.162567,,
63.88,54,210.613571,,
63.88,54,211.06456,,
63.88,54,211.515549,,
63.88,54,211.966537,,
63.88,54,212.417542,,
63.88,54,212.86853,,
63.88,54,213.319519,,
63.88,54,213.770508,,
63.88,54,214.221512,,
63.88,54,214.672501,,
63.88,54,215.123489,,
63.88,54,215.574478,,
63.88,54,216.025482,,
63.88,54,216.476471,,
63.88,54,216.92746,,
63.88,54,217.378448,,
63.88,54,217.829453,,
63.88,54,218.280441,,
63.88,54,218.73143,,
63.88,54,219.182419,,
63.88,54,219.633423,,
63.88,54,220.084412,,
63.88,54,220.5354,,
63.88,54,220.986389,,
63.88,54,221.437393,,
63.88,54,221.888382,,
63.88,54,222.339371,,
63.88,54,222.790359,,
63.88,54,223.241364,,
63.88,54,223.692352,,
63.88,54,224.143341,,
63.88,54,224.59433,,
63.88,54,225.045334,,
63.88,54,225.496323,,
63.88,54,225.947311,,
63.88,54,226.3983,,
63.88,54,226.849304,,
63.785,54,227.300293,,
63.785,54,227.751282,,
63.785,54,228.202271,,
63.785,54,228.653275,,
63.785,54,229.104263,,
63.785,54,229.555252,,
63.785,54,230.006241,,
63.785,54,230.457245,,
63.785,54,230.908234,,
63.785,54,231.359222,,
63.785,54,231.810226,,
63.785,54,232.261215,,
63.785,54,232.712204,,
63.785,54,233.163193,,
63.785,54,233.614197,,
63.785,54,234.065186,,
63.785,54,234.516174,,
63.785,54,234.967163,,
63.785,54,235.418167,,
63.785,54,235.869156,,
63.785,54,236.320145,,
63.785,54,236.771133,,
63.785,54,237.222137,,
63.785,54,237.673126,,
63.785,54,238.124115,,
63.785,54,238.575104,,
63.785,54,239.026108,,
63.785,54,239.477097,,
63.785,54,239.928085,,
63.785,54,240.379074,,
63.785,54,240.830078,,
63.785,54,241.281067,,
63.785,54,241.732056,,
63.785,54,242.183044,,
63.785,54,242.634048,,
63.785,54,243.085037,,
63.785,54,243.536026,,
63.785,54,243.987015,,
63.785,54,244.438019,,
63.785,54,244.889008,,
63.785,54,245.339996,,
63.785,54,245.790985,,
63.785,54,246.241989,,
63.785,54,246.692978,,
63.785,54,247.143967,,
63.785,54,247.594955,,
63.785,54,248.045959,,
63.785,54,248.496948,,
63.785,54,248.947937,,
63.785,54,249.398926,,
63.785,54,249.84993,,
63.785,54,250.300919,,
63.785,54,250.751907,,
63.785,54,251.202896,,
63.785,54,251.6539,,
63.785,54,252.104889,,
63.785,54,252.555878,,
63.785,54,253.006866,,
63.785,54,253.45787,,
63.785,54,253.908859,,
63.785,54,254.359848,,
63.785,54,254.810837,,
63.785,54,255.261841,,
63.785,54,255.71283,,
63.785,54,256.163818,,
63.785,54,256.614807,,
63.785,54,257.065796,,
63.785,54,257.516785,,
63.785,54,257.967804,,
63.785,54,258.418793,,
63.785,54,258.869781,,
63.785,54,259.32077,,
63.785,54,259.771759,,
63.785,54,260.222748,,
63.785,54,260.673737,,
63.785,54,261.124756,,
63.785,54,261.575745,,
63.785,54,262.026733,,
63.785,54,262.477722,,
63.785,54,262.928711,,
63.785,54,263.3797,,
63.785,54,263.830688,,
63.785,54,264.281677,,
63.785,54,264.732697,,
63.785,54,265.183685,,
63.785,54,265.634674,,
63.785,54,266.085663,,
63.785,54,266.536652,,
63.785,54,266.98764,,
63.785,54,267.438629,,
63.785,54,267.889618,,
63.785,54,268.340637,,
63.785,54,268.791626,,
63.785,54,269.242615,,
63.785,54,269.693604,,
63.785,54,270.144592,,
63.785,54,270.595581,,
63.785,54,271.04657,,
63.785,54,271.497559,,
63.785,54,271.948578,,
63.785,54,272.399567,,
63.785,54,272.850555,,
63.785,54,273.301544,,
63.785,54,273.752533,,
63.785,54,274.203522,,
63.785,54,274.65451,,
63.785,54,275.105499,,
63.785,54,275.556519,,
63.785,54,276.007507,,
63.785,54,276.458496,,
63.785,54,276.909485,,
63.785,54,277.360474,,
63.785,54,277.811462,,
63.785,54,278.262451,,
63.785,54,278.71344,,
63.785,54,279.164459,,
63.785,54,279.615448,,
63.785,54,280.066437,,
63.785,54,280.517426,,
63.785,54,280.968414,,
63.785,54,281.419403,,
63.785,54,281.870392,,
63.785,54,282.321381,,
63.785,54,282.7724,,
63.785,54,283.223389,,
63.785,54,283.674377,,
63.785,54,284.125366,,
63.785,54,284.576355,,
63.785,54,285.027344,,
63.785,54,285.478333,,
63.785,54,285.929321,,
63.785,54,286.380341,,
63.785,54,286.831329,,
63.785,54,287.282318,,
63.785,54,287.733307,,
63.785,54,288.184296,,
63.785,54,288.635284,,
63.785,54,289.086273,,
63.785,54,289.537292,,
63.785,54,289.988281,,
63.785,54,290.43927,,
63.785,54,290.890259,,
63.785,54,291.341248,,
63.785,54,291.792236,,
63.785,54,292.243225,,
63.785,54,292.694214,,
63.785,54,293.145233,,
63.785,54,293.596222,,
63.785,54,294.047211,,
63.785,54,294.498199,,
63.785,54,294.949188,,
63.785,54,295.400177,,
63.785,54,295.851166,,
63.785,54,296.302155,,
63.785,54,296.753174,,
63.785,54,297.204163,,
63.785,54,297.655151,,
63.785,54,298.10614,,
63.785,54,298.557129,,
63.785,54,299.008118,,
63.785,54,299.459106,,
63.785,54,299.910095,,
63.785,54,300.361115,,
63.785,54,300.812103,,
63.785,54,301.263092,,
63.785,54,301.714081,,
63.785,54,302.16507,,
63.785,54,302.616058,,
63.785,54,303.067047,,
63.785,54,303.518036,,
63.785,54,303.969055,,
63.785,54,304.420044,,
63.785,54,304.871033,,
63.88,54,305.322021,,
63.88,54,305.77301,,
63.88,54,306.223999,,
63.88,54,306.674988,,
63.88,54,307.125977,,
63.88,54,307.576996,,
63.88,54,308.027985,,
63.88,54,308.478973,,
63.88,54,308.929962,,
63.88,54,309.380951,,
63.88,54,309.83194,,
63.88,54,310.282928,,
63.88,54,310.733917,,
63.88,54,311.184937,,
63.88,54,311.635925,,
63.88,54,312.086914,,
63.88,54,312.537903,,
63.88,54,312.988892,,
63.88,54,313.43988,,
63.88,54,313.890869,,
63.88,54,314.341858,,
63.88,54,314.792877,,
63.88,54,315.243866,,
63.88,54,315.694855,,
63.88,54,316.145844,,
63.88,54,316.596832,,
63.88,54,317.047821,,
63.88,54,317.49881,,
63.88,54,317.949829,,
63.88,54,318.400818,,
63.88,54,318.851807,,
63.88,54,319.302795,,
63.88,54,319.753784,,
63.88,54,320.204773,,
63.88,54,320.655762,,
63.88,54,321.10675,,
63.88,54,321.55777,,
63.88,54,322.008759,,
63.88,54,322.459747,,
63.88,54,322.910736,,
63.88,54,323.361725,,
63.88,54,323.812714,,
63.88,54,324.263702,,
63.88,54,324.714691,,
63.88,54,325.16571,,
63.88,54,325.616699,,
63.88,54,326.067688,,
63.88,54,326.518677,,
63.88,54,326.969666,,
63.88,54,327.420654,,
63.88,54,327.871643,,
63.88,54,328.322632,,
63.88,54,328.773651,,
63.88,54,329.22464,,
63.88,54,329.675629,,
63.88,54,330.126617,,
63.88,54,330.577606,,
63.88,54,331.028595,,
63.88,54,331.479584,,
63.88,54,331.930573,,
63.88,54,332.381592,,
63.88,54,332.832581,,
63.88,54,333.283569,,
63.88,54,333.734558,,
63.88,54,334.185547,,
63.88,54,334.636536,,
63.88,54,335.087524,,
63.88,54,335.538513,,
